schedule_family,scheduler,n_steps,dataset_group,size_group,scheduler_label,scheduler_variant_label,metric,metric_label,direction,mean,ci95,n
condmarg,entropic_log1p,10,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,55
condmarg,entropic_log1p,10,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,1.5707606736507098,0.010875874799942124,55
condmarg,entropic_log1p,10,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,82.00081666599618,2.477462193220121,55
condmarg,entropic,25,All,Short,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,75.45127690055153,3.809710817314683,55
condmarg,entropic,25,All,Short,Entropic,Entropic · cond-marg,diversity,Diversity,higher,1.2682001842355186,0.45876464120531213,55
condmarg,entropic,25,All,Short,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,1.2682001842355186,0.45876464120531213,55
condmarg,entropic,25,All,Short,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,55
condmarg,entropic,25,All,Short,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,3.9667676857228136,0.02745383772703875,55
condmarg,entropic,25,All,Short,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,78.41389845969462,3.0443499031748287,55
condmarg,entropic_log1p,25,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,96.23845790516246,0.44260239089640185,55
condmarg,entropic_log1p,25,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,6.8413370695981115,0.9760439160020208,55
condmarg,entropic_log1p,25,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,6.8413370695981115,0.9760439160020208,55
condmarg,entropic_log1p,25,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,55
condmarg,entropic_log1p,25,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,3.923125439003872,0.02640407425830842,55
condmarg,entropic_log1p,25,All,Short,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,83.44400226523659,2.2041202039417724,55
condmarg,entropic,5,All,Medium,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,97.62081460107731,0.21807646145346266,395
condmarg,entropic,5,All,Medium,Entropic,Entropic · cond-marg,diversity,Diversity,higher,3.0742089514490925,0.3465009028736846,395
condmarg,entropic,5,All,Medium,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,3.0742089514490925,0.3465009028736846,395
condmarg,entropic,5,All,Medium,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,395
condmarg,entropic,5,All,Medium,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,1.65049036080725,0.09589870310148638,395
condmarg,entropic,5,All,Medium,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,87.95366621234746,0.9666920526282586,395
condmarg,entropic_log1p,5,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,94.53325635451304,0.5130002667183567,395
condmarg,entropic_log1p,5,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,6.634120318104949,0.5534141841681491,395
condmarg,entropic_log1p,5,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,6.634120318104949,0.5534141841681491,395
condmarg,entropic_log1p,5,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,395
condmarg,entropic_log1p,5,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,1.650040595019472,0.09586663415934178,395
condmarg,entropic_log1p,5,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,87.08063355457939,0.9953397553383136,395
condmarg,entropic,10,All,Medium,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,87.85458709378786,1.1052552014022026,395
condmarg,entropic,10,All,Medium,Entropic,Entropic · cond-marg,diversity,Diversity,higher,3.5650573054069206,0.4455009049253134,395
condmarg,entropic,10,All,Medium,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,3.5650573054069206,0.4455009049253134,395
condmarg,entropic,10,All,Medium,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,395
condmarg,entropic,10,All,Medium,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,3.304506192117623,0.1915963731722927,395
condmarg,entropic,10,All,Medium,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,87.953823339245,0.9737457717020745,395
condmarg,entropic_log1p,10,All,Medium,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,97.2462534554397,0.15347939355145693,395
