id,model,scheduler,n_steps,mode,seed,domain,n_samples,infer_seconds,fid,fid_backend,fid_pixel,fid_inception,fid_inception_error,sample_mean,sample_std,scheduler_base,entropy_variant,entropy_mode,entropy_rate_source,entropy_seconds,sampling_seconds,sigma_lt_1_count,sigma_lt_0p1_count,sigma_max_jump,sigma_last_jump,rank_seed,experiment_path,dataset,dataset_path,batch_index,sample_name,seq_len,protein_size_bin,schedule_group,requested_entropy_mode,sample_index,infer_seconds_per_output,rmsd_mean,rmsd_std,diversity,plddt_mean,plddt_std,invalid_structures,n_outputs,entropy_curve_mode,tm_score,n_preds_tm,run_id
edm_entropic_10_ode_heun_7,edm,entropic,10,ode_heun,7,image,64.0,0.5281726280227304,292.2830682637898,clean-fid+pixel,0.0731078162789344,292.2830682637898,,-0.0431781895458698,0.3474364578723907,entropic,control,empirical_hutchinson,,0.0,0.5281726280227304,1.0,1.0,10.33121231638252,-6.866268970234385,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_25_ode_heun_314,edm,entropic,25,ode_heun,314,image,64.0,1.353363798931241,229.67968365161244,clean-fid+pixel,0.0245980732142925,229.67968365161244,,-0.041588082909584,0.4167139530181885,entropic,control,empirical_hutchinson,,0.0,1.353363798931241,1.0,1.0,4.304633940989135,-2.64250450335594,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_log1p_10_ode_heun_42,edm,entropic_log1p,10,ode_heun,42,image,64.0,0.5257176840677857,179.22142129689436,clean-fid+pixel,0.00836191046983,179.22142129689436,,-0.0294358134269714,0.5510570406913757,entropic,log1p,empirical_hutchinson,,0.0,0.5257176840677857,5.0,3.0,40.84847011004621,-0.009205488877502,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_entropic_log1p_25_ode_heun_2718,edm,entropic_log1p,25,ode_heun,2718,image,64.0,1.353228123858571,171.0326630542549,clean-fid+pixel,0.0042264177463948,171.0326630542549,,-0.0709042027592659,0.5282039642333984,entropic,log1p,empirical_hutchinson,,0.0,1.353228123858571,12.0,7.0,19.735441185228822,-0.0015683303529238,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_power_2_10_ode_heun_123,edm,power_2,10,ode_heun,123,image,64.0,0.5255317194387317,184.89372511159075,clean-fid+pixel,0.1538252681493759,184.89372511159075,,-0.0680683031678199,0.7271338105201721,power_2,,,,0.0,0.5255317194387317,8.0,7.0,69.31686814509338,-0.0002235689227249,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_linear_5_ode_heun_314,edm,linear,5,ode_heun,314,image,64.0,0.7533642388880253,202.89657920857323,clean-fid+pixel,0.2148527652025222,202.89657920857323,,-0.061811938881874,0.7688857913017273,linear,,,,0.0,0.7533642388880253,3.0,2.0,70.39100452814854,-0.0146510641480374,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_linear_25_ode_heun_42,edm,linear,25,ode_heun,42,image,64.0,1.3490009754896164,177.57117026791352,clean-fid+pixel,0.0022077208850532,177.57117026791352,,-0.028429677709937,0.5199125409126282,linear,,,,0.0,1.3490009754896164,15.0,10.0,27.63904157764376,-0.0010557118284467,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_5_ode_heun_2718,edm,cosine,5,ode_heun,2718,image,64.0,0.2488418603315949,240.5962599378873,clean-fid+pixel,0.449802964925766,240.5962599378873,,-0.0797104984521865,0.8874574899673462,cosine,,,,0.0,0.2488418603315949,3.0,3.0,50.468436843202014,-0.0038504790137986,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_cosine_25_ode_heun_123,edm,cosine,25,ode_heun,123,image,64.0,1.34822466224432,169.18591676954136,clean-fid+pixel,0.0001750308874761,169.18591676954136,,-0.0484695918858051,0.5005304217338562,cosine,,,,0.0,1.34822466224432,14.0,11.0,13.503511527100189,-0.0001184551871679,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
edm_sigmoid_10_ode_heun_7,edm,sigmoid,10,ode_heun,7,image,64.0,0.5296315625309944,203.45442507877533,clean-fid+pixel,0.1747858077287674,203.45442507877533,,-0.0428914427757263,0.7392621636390686,sigmoid,,,,0.0,0.5296315625309944,6.0,5.0,28.0018597293226,-0.0001249348288935,7.0,exp_02a_edm_ode_sweep,,,,,,,,,,,,,,,,,,,,,run40_rebuttal
