mode,scheduler,n_steps,scheduler_label,metric,metric_label,direction,mean,ci95,n
sde_heun,sigmoid,5,Sigmoid,fid_inception,Inception FID,lower,434.75939265448574,4.332708579527993,5
sde_heun,sigmoid,5,Sigmoid,fid_pixel,Pixel FID,lower,10.795283317565918,0.8781023093296864,5
sde_heun,sigmoid,5,Sigmoid,fid,FID,lower,434.75939265448574,4.332708579527993,5
sde_heun,sigmoid,5,Sigmoid,infer_seconds,Seconds,lower,0.25845559816807506,0.0011124496568904404,5
sde_heun,power_2,5,Power-2,fid_inception,Inception FID,lower,412.77912637417404,3.3666725119001684,5
sde_heun,power_2,5,Power-2,fid_pixel,Pixel FID,lower,18.441119766235353,1.1374827399413905,5
sde_heun,power_2,5,Power-2,fid,FID,lower,412.77912637417404,3.3666725119001684,5
sde_heun,power_2,5,Power-2,infer_seconds,Seconds,lower,0.258414014801383,0.0009741397975001699,5
sde_heun,linear,10,Linear,fid_inception,Inception FID,lower,356.0620033144701,6.238219618358392,5
sde_heun,linear,10,Linear,fid_pixel,Pixel FID,lower,0.29192141890525813,0.016635370629814444,5
sde_heun,linear,10,Linear,fid,FID,lower,356.0620033144701,6.238219618358392,5
sde_heun,linear,10,Linear,infer_seconds,Seconds,lower,0.8327195044606923,0.23009891962393036,5
sde_heun,entropic,10,Entropic,fid_inception,Inception FID,lower,489.62071358829064,3.2676140574623056,5
sde_heun,entropic,10,Entropic,fid_pixel,Pixel FID,lower,2.191888952255249,0.022409223826625718,5
sde_heun,entropic,10,Entropic,fid,FID,lower,489.62071358829064,3.2676140574623056,5
sde_heun,entropic,10,Entropic,infer_seconds,Seconds,lower,0.544506198912859,0.0020693644286865565,5
sde_heun,entropic_log1p,10,Entropic-log1p,fid_inception,Inception FID,lower,354.7749523901128,5.297015464800205,5
sde_heun,entropic_log1p,10,Entropic-log1p,fid_pixel,Pixel FID,lower,0.22780482172966,0.014056093177244653,5
sde_heun,entropic_log1p,10,Entropic-log1p,fid,FID,lower,354.7749523901128,5.297015464800205,5
sde_heun,entropic_log1p,10,Entropic-log1p,infer_seconds,Seconds,lower,0.544356539286673,0.0028242637498609455,5
sde_heun,cosine,10,Cosine,fid_inception,Inception FID,lower,376.5495743159749,6.099999445556183,5
sde_heun,cosine,10,Cosine,fid_pixel,Pixel FID,lower,0.47514205574989316,0.023774983600540346,5
sde_heun,cosine,10,Cosine,fid,FID,lower,376.5495743159749,6.099999445556183,5
sde_heun,cosine,10,Cosine,infer_seconds,Seconds,lower,0.5450793031603098,0.0038293778741923593,5
sde_heun,sigmoid,10,Sigmoid,fid_inception,Inception FID,lower,420.9181454617949,2.587882199142355,5
sde_heun,sigmoid,10,Sigmoid,fid_pixel,Pixel FID,lower,1.8339311599731445,0.06968869383218966,5
sde_heun,sigmoid,10,Sigmoid,fid,FID,lower,420.9181454617949,2.587882199142355,5
sde_heun,sigmoid,10,Sigmoid,infer_seconds,Seconds,lower,0.5446457901969552,0.0022287866421394882,5
sde_heun,power_2,10,Power-2,fid_inception,Inception FID,lower,357.64359591205204,4.990949148009235,5
sde_heun,power_2,10,Power-2,fid_pixel,Pixel FID,lower,0.9004971504211425,0.026104121263625372,5
sde_heun,power_2,10,Power-2,fid,FID,lower,357.64359591205204,4.990949148009235,5
sde_heun,power_2,10,Power-2,infer_seconds,Seconds,lower,0.5449921872466803,0.0029954981166991665,5
sde_heun,linear,25,Linear,fid_inception,Inception FID,lower,337.27808506527936,8.124907360784759,5
sde_heun,linear,25,Linear,fid_pixel,Pixel FID,lower,0.11787613481283184,0.010959488290712693,5
sde_heun,linear,25,Linear,fid,FID,lower,337.27808506527936,8.124907360784759,5
sde_heun,linear,25,Linear,infer_seconds,Seconds,lower,1.4029586542397738,0.006115678099029083,5
sde_heun,entropic,25,Entropic,fid_inception,Inception FID,lower,439.05776240028274,4.157432206511227,5
sde_heun,entropic,25,Entropic,fid_pixel,Pixel FID,lower,0.5614290118217469,0.014905975510689165,5
sde_heun,entropic,25,Entropic,fid,FID,lower,439.05776240028274,4.157432206511227,5
sde_heun,entropic,25,Entropic,infer_seconds,Seconds,lower,1.4011140299960971,0.00560950368648016,5
sde_heun,entropic_log1p,25,Entropic-log1p,fid_inception,Inception FID,lower,337.30199306158937,7.329832628214379,5
sde_heun,entropic_log1p,25,Entropic-log1p,fid_pixel,Pixel FID,lower,0.1090292155742645,0.010255959441173744,5
sde_heun,entropic_log1p,25,Entropic-log1p,fid,FID,lower,337.30199306158937,7.329832628214379,5
sde_heun,entropic_log1p,25,Entropic-log1p,infer_seconds,Seconds,lower,1.4025579649955036,0.007420528709535823,5
sde_heun,cosine,25,Cosine,fid_inception,Inception FID,lower,347.7011062293985,7.3057008527002765,5
sde_heun,cosine,25,Cosine,fid_pixel,Pixel FID,lower,0.14172522723674771,0.010585886913159289,5
sde_heun,cosine,25,Cosine,fid,FID,lower,347.7011062293985,7.3057008527002765,5
sde_heun,cosine,25,Cosine,infer_seconds,Seconds,lower,1.4027468902990223,0.009655940999548935,5
sde_heun,sigmoid,25,Sigmoid,fid_inception,Inception FID,lower,375.3004177580983,4.958675432837976,5
sde_heun,sigmoid,25,Sigmoid,fid_pixel,Pixel FID,lower,0.2621179789304733,0.011630165507823668,5
sde_heun,sigmoid,25,Sigmoid,fid,FID,lower,375.3004177580983,4.958675432837976,5
sde_heun,sigmoid,25,Sigmoid,infer_seconds,Seconds,lower,1.4042410057038068,0.008320679116445129,5
sde_heun,power_2,25,Power-2,fid_inception,Inception FID,lower,342.92305817591875,9.231256513374525,5
sde_heun,power_2,25,Power-2,fid_pixel,Pixel FID,lower,0.17483308315277096,0.012422445032465054,5
sde_heun,power_2,25,Power-2,fid,FID,lower,342.92305817591875,9.231256513374525,5
sde_heun,power_2,25,Power-2,infer_seconds,Seconds,lower,1.4030735129490495,0.004788364341013935,5
